url;ID;Operacion;Propiedad;Titulo;Currency;Precio;Ubicacion;Antiguedad;Superficie total;Superficie útil;Dormitorios;Baños
https://www.portalinmobiliario.com/MLC-2770265428-tradicional-casa-en-sector-cerro-la-cruz-_JM;2770265428;Venta;Casas;Tradicional Casa En Sector Cerro La Cruz;CLP;250000000;Punta Arenas, Punta Arenas, Magallanes;57;300;140;3;2
https://www.portalinmobiliario.com/MLC-2770363638-casa-con-destino-comercial-_JM;2770363638;Venta;Casas;Casa Con Destino Comercial;UF;14100;Punta Arenas, Punta Arenas, Magallanes;0;348;289;3;1
https://www.portalinmobiliario.com/MLC-1546247067-casa-en-barrio-residencial-a-pasos-de-costanera-en-_JM;1546247067;Venta;Casas;Casa En Barrio Residencial A Pasos De Costanera En...;CLP;310000000;Punta Arenas, Punta Arenas, Magallanes;26;118;105;3;2
https://www.portalinmobiliario.com/MLC-1546221587-amplia-casa-en-sector-residencian-en-punta-arenas-_JM;1546221587;Venta;Casas;Amplia Casa En Sector Residencian En Punta Arenas;UF;13327;Punta Arenas, Punta Arenas, Magallanes;15;205;154;4;4
https://www.portalinmobiliario.com/MLC-2640421196-elegante-propiedad-en-sector-norte-_JM;2640421196;Venta;Casas;Elegante Propiedad En Sector Norte;UF;39890;Punta Arenas, Punta Arenas, Magallanes;27;2.96;140;4;2
https://www.portalinmobiliario.com/MLC-2776614558-acogedora-casa-con-gran-terreno-_JM;2776614558;Venta;Casas;Acogedora Casa Con Gran Terreno;CLP;150000000;Punta Arenas, Punta Arenas, Magallanes;12;784;106;3;1
https://www.portalinmobiliario.com/MLC-2771174340-casa-en-venta-villa-las-nieves-en-punta-arenas-_JM;2771174340;Venta;Casas;Casa En Venta Villa Las Nieves En Punta Arenas;CLP;175000000;Punta Arenas, Punta Arenas, Magallanes;34;160;120;2;2
https://www.portalinmobiliario.com/MLC-2752563346-casa-con-excelente-perfil-comercial-inmobiliario--_JM;2752563346;Venta;Casas;Casa Con Excelente Perfil Comercial, Inmobiliario ...;CLP;250000000;Punta Arenas, Punta Arenas, Magallanes;64;241;91;3;1
https://www.portalinmobiliario.com/MLC-1510448835-casa-excelente-oportunidad-_JM;1510448835;Venta;Casas;Casa Excelente Oportunidad;CLP;150000000;Punta Arenas, Punta Arenas, Magallanes;40;148;129;4;2
https://www.portalinmobiliario.com/MLC-1504017023-casa-en-venta-en-villa-sendero-austral-_JM;1504017023;Venta;Casas;Casa En Venta En Villa Sendero Austral;CLP;158000000;Punta Arenas, Punta Arenas, Magallanes;15;132;73;3;2
https://www.portalinmobiliario.com/MLC-1494066509-casa-sector-cerro-la-cruz-_JM;1494066509;Venta;Casas;Casa Sector Cerro La Cruz;UF;7700;Punta Arenas, Punta Arenas, Magallanes;100;625;120;3;1
